Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Non-coding
GCA_025677805.1	Umbsp_AD052_1	Umbelopsis sp. AD052		AD052					Annotation submitted by DOE Joint Genome Institute	22504321	Contig	10/13/22	JAIXMS01	657587								PacBio	DOE Joint Genome Institute	PRJNA331671	SAMN05519192	9475	9365	2	108
GCA_948144035.1	Genome assembly Closterium sp. NIES-64	Closterium sp. NIES-64		NIES-64					Annotation submitted by tokyo university	702500261	Scaffold	6/17/23	CANXGL01	636707	727632							"PacBio Sequel, Illumina HiSeq 3000"	tokyo university	PRJEB57781	SAMEA112298760	34905	34905		
GCA_029963845.1	MPICE_RBIC_1	Rhamnusium bicolor					RBIC_L_NR		Annotation submitted by Max Planck Institute for Chemical Ecology	1141596284	Contig	5/10/23	JANEYF01	632732								Oxford Nanopore MinION	Max Planck Institute for Chemical Ecology	PRJNA609440	SAMN14253358	21524	19413	62	2049
GCA_900044065.1	Genome assembly version 1	Fusarium mangiferae		MRC7560					Annotation submitted by Institute of Bioinformatics and Systems Biology	46292722	Scaffold	12/6/16	FCQH01	629886	2536721								Institute of Bioinformatics and Systems Biology	PRJEB9887	SAMEA3862491	16149	15804		345
GCA_013423385.1	N_liquefaciens_N6_1.0	Naganishia liquefaciens		N6					"Annotation submitted by School of Life Science and Technology, Tokyo Institute of Technology"	19492980	Scaffold	7/8/20	BLZA01	618944	1033977							Illumina MiSeq	"School of Life Science and Technology, Tokyo Institute of Technology"	PRJDB10172	SAMD00235376	6883	6883		
GCA_951230385.1	Staurois_parvus_genomeassembly_1.0.embl	Staurois parvus							Annotation submitted by EAST CAROLINA UNIVERSITY	3982222951	Scaffold	5/8/23	CATNWA01	611229	627725							PacBio Sequel II	EAST CAROLINA UNIVERSITY	PRJEB40591	SAMEA7371014	78191	78191		
GCA_020736565.1	Copph3	Coprinopsis sp. MPI-PUGE-AT-0042		MPI-PUGE-AT-0042					Annotation submitted by DOE Joint Genome Institute	121013029	Contig	11/2/21	JAHBOF01	607084									DOE Joint Genome Institute	PRJNA347200	SAMN05877944	27829	27370	21	438
GCA_030052745.1	ASM3005274v1	Pleurostoma richardsiae		EXF-13308					"Annotation submitted by University of Ljubljana, Biotechnical Faculty"	39834950	Scaffold	5/19/23	JANBVO01	604211	691216							BGISEQ-500	"University of Ljubljana, Biotechnical Faculty"	PRJNA854364	SAMN29470559	12540	12540		
GCA_027945595.1	F_torr_CF00136	Fusarium torreyae		CF00136					"Annotation submitted by University of California, Riverside"	46518303	Scaffold	1/24/23	JAOQAZ01	601675	1014291							Illumina MiSeq	"University of California, Riverside"	PRJNA855134	SAMN30354184	14845	14533	1	311
GCA_021307315.1	Bisporella sp. PMI857 v1.0	Bisporella sp. PMI_857		PMI_857					Annotation submitted by DOE Joint Genome Institute	56472170	Contig	12/28/21	JAJSPD01	601504								PacBio	DOE Joint Genome Institute	PRJNA370789	SAMN06310395	18044	17944	8	92
GCA_003369635.1	ASM336963v1	Coleophoma crateriformis		BP5796					Annotation submitted by The University of Texas Health Science Center at Houston	40652013	Scaffold	8/10/18	PDLN01	599439	1975931							Illumina HiSeq	The University of Texas Health Science Center at Houston	PRJNA388491	SAMN07177961	13257	13257		
GCA_018902385.1	ASM1890238v1	Physcia stellaris					C0375214F		Annotation submitted by The Field Museum	44010370	Scaffold	6/16/21	JABSSW01	594864	643737							Oxford Nanopore; Illumina	The Field Museum	PRJNA609569	SAMN14255382	10217	10217		
GCA_030411845.1	ASM3041184v1	Friedmanniomyces endolithicus		CCFEE 5001					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	23497870	Scaffold	7/6/23	JASUXV01	579216	669536							Illumina MiSeq	Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	PRJNA666634	SAMN23564077	9287	9242		45
GCA_026023515.1	ASM2602351v1	Claussenomyces sp. TS43310					Spribille 43310/TS-e1940		Annotation submitted by University of Alberta	27566375	Contig	11/7/22	JAPETT01	575796								Illumina HiSeq	University of Alberta	PRJNA833438	SAMN27762791	8545	8497		48
GCA_026026355.1	ASM2602635v1	Sarcosagium campestre					Spribille 41927/TS-e1948		Annotation submitted by University of Alberta	20202879	Contig	11/7/22	JAPEUC01	563422								Illumina HiSeq	University of Alberta	PRJNA833438	SAMN27762797	6532	6492		40
GCA_958295435.1	M.spiculigera Hybrid genome	Mesorhabditis spiculigera		AF72					Annotation submitted by LBMC UMR5239	197809214	Scaffold	7/6/23	CATQJA01	557898	557898							"Illumina HiSeq 4000,MinION"	LBMC UMR5239	PRJEB59059	SAMEA113903271	25969	25954	15	
GCA_019207285.1	ASM1920728v1	Ogataea haglerorum					81-453-3		Annotation submitted by Colorado College	8874124	Scaffold	7/13/21	JAHLUL01	556738	556738							Illumina HiSeq	Colorado College	PRJNA706707	SAMN18128854	5411	5411		
GCA_902806795.1	TRIGBR_hybrid	Trichogramma brassicae							Annotation submitted by WAGENINGEN UNIVERSITY	235386796	Contig	2/28/20	CADCXV01	556663									WAGENINGEN UNIVERSITY	PRJEB35413	SAMEA6463268	16905	16905		
GCA_015178975.1	Hyssto1	Hysterangium stoloniferum		HS.BST					Annotation submitted by DOE Joint Genome Institute	111842964	Contig	11/2/20	WHVD01	556068								PacBio	DOE Joint Genome Institute	PRJNA234406	SAMN05660837	16221	15018	175	1028
GCA_905337335.1	GTX0158_lecanoromycete	Gomphillus americanus							Annotation submitted by Spribille Lab	23861785	Scaffold	3/25/21	CAJPDQ01	553885	685684								Spribille Lab	PRJEB42325	SAMEA8235473	8347	8300		47
GCA_022814265.1	ASM2281426v1	Lambiella insularis					Spribille 39820		Annotation submitted by University of Graz	36292339	Scaffold	4/4/22	JALDZE01	553330	574903							Illumina	University of Graz	PRJNA795879	SAMN25961853	8535	8485		50
GCA_024699865.1	Afujianensis.fasta	Aphelenchoides fujianensis		Dali					Annotation submitted by Academia Sinica	143834322	Scaffold	8/15/22	JAMPIO01	553027	553027							Oxford Nanopore GridION	Academia Sinica	PRJNA834627	SAMN28081356	20050	17477	2573	
GCA_022544895.1	Biscog1	Biscogniauxia sp. FL1348		FL1348					Annotation submitted by DOE Joint Genome Institute	41733781	Contig	3/11/22	JAJNNV01	551808								PacBio	DOE Joint Genome Institute	PRJNA567088	SAMN12811606	11011	10869	13	129
GCA_011058905.1	ASM1105890v1	Curvularia kusanoi		30M1					Annotation submitted by University of Campinas	33340726	Scaffold	3/3/20	SWKU01	547763	1018367							Illumina HiSeq	University of Campinas	PRJNA532542	SAMN11403615	11686	11490		196
GCA_020747015.1	Pyrly1	Pyrenochaeta sp. MPI-SDFR-AT-0127		MPI-SDFR-AT-0127					Annotation submitted by DOE Joint Genome Institute	40265766	Contig	11/5/21	JAGTJM01	541518								PacBio RSII	DOE Joint Genome Institute	PRJNA347196	SAMN08150286	14389	14310	6	73
GCA_022432375.1	NeFL0031_2	Nemania sp. FL0031		FL0031					Annotation submitted by DOE Joint Genome Institute	54661084	Contig	3/1/22	JAJKKK01	538957								PacBio	DOE Joint Genome Institute	PRJNA583316	SAMN13190175	13806	13572	9	225
GCA_000743665.3	SPSU_Gcan_3	Scytalidium sp. 3C		3C					Annotation submitted by Saint-Petersburg State University	41022036	Contig	11/27/18	JMRO03	532627								Illumina HiSeq	Saint-Petersburg State University	PRJNA243259	SAMN02713643	4331	4331		
GCA_022578955.1	HyFL1857_1	Hypoxylon sp. FL1857		FL1857					Annotation submitted by DOE Joint Genome Institute	43394199	Scaffold	3/3/22	JAJLRM01	520326	682580							Illumina	DOE Joint Genome Institute	PRJNA571071	SAMN12811588	12155	11993	7	155
GCA_028826165.1	ASM2882616v1	Anaeramoeba ignava		BMAN					Annotation submitted by Dalhousie University	42843398	Contig	2/23/23	JAPDFW01	512274								Oxford Nanopore MinION; Illumina HiSeq	Dalhousie University	PRJNA634776	SAMN15167204	14837	14759	4	74
GCA_022059095.1	T.mel.1	Trypanosoma melophagium				St. Kilda	St. Kilda		Annotation submitted by University of Edinburgh	23303718	Contig	2/8/22	JAJSEB01	505851								Oxford Nanopore MinION; DNBseq	University of Edinburgh	PRJNA786535	SAMN23701209	9768	9768		
GCA_001644535.1	Pyrsp1	Pyrenochaeta sp. DS3sAY3a		DS3sAY3a					Annotation submitted by DOE Joint Genome Institute	38501010	Scaffold	5/18/16	LXSZ01	490183	1273050							Illumina	DOE Joint Genome Institute	PRJNA255591	SAMN02927933	15074	14990	1	83
GCA_003709825.1	ASM370982v1	Chaetothyriales sp. CBS 135597		CBS 135597					Annotation submitted by Westerdijk Fungal Biodiversity Institute	20738693	Scaffold	11/2/18	QQXN01	478730	570188							Illumina HiSeq	Westerdijk Fungal Biodiversity Institute	PRJNA482740	SAMN09487417	5622	5622		
GCA_022814085.1	ASM2281408v1	Puttea exsequens					T1888		Annotation submitted by University of Graz	25964033	Scaffold	4/4/22	JALDZN01	473369	473369							Illumina	University of Graz	PRJNA795879	SAMN25961862	8513	8469		44
GCA_026026765.1	ASM2602676v1	Pycnora praestabilis					Spribille s.n. 21.07.2019/TS-e1952		Annotation submitted by University of Alberta	24516431	Contig	11/7/22	JAPEUB01	466469								Illumina HiSeq	University of Alberta	PRJNA833438	SAMN27762799	7767	7721		46
GCA_011058875.1	ASM1105887v1	Neopestalotiopsis sp. 37M		37M					Annotation submitted by University of Campinas	50504522	Scaffold	3/3/20	SWKT01	461184	505214							Illumina HiSeq	University of Campinas	PRJNA532542	SAMN11403616	15107	14867		240
GCA_011947395.2	ASM1194739v2	Colletotrichum karsti		CkLH20					Annotation submitted by Central South University of Forestry and Technology	51850041	Scaffold	12/8/20	JAATWM02	460919	857663							Illumina HiSeq	Central South University of Forestry and Technology	PRJNA613862	SAMN14421089	13328	13328		
GCA_002946385.1	ASM294638v1	Rutstroemia sp. NJR-2017a WRK4		NJR-2017a WRK4					Annotation submitted by Brigham Young University	42311284	Contig	2/26/18	NJPR01	459069								Illumina-Hiseq	Brigham Young University	PRJNA389323	SAMN07205147	11409	10968	441	
GCA_943733655.1	CLIB1444v1	[Candida] jaroonii		CLIB 1444					Annotation submitted by INRAE	10558361	Scaffold	7/1/22	CALSDN01	458765	697134								INRAE	PRJEB50290	SAMEA12383850	6030	5820	58	152
GCA_009768925.2	ASM976892v2	Cryptosporidium bovis					45015		Annotation submitted by South China Agricultural University	9111170	Scaffold	11/10/21	VHIT02	444382	444382							Illumina HiSeq	South China Agricultural University	PRJNA545579	SAMN11927534	3723	3723		
GCA_019359905.1	Cafric_001	Candida africana		CEC4854					Annotation submitted by Institut Pasteur	11765612	Scaffold	7/27/21	JAENJO01	438431	1768346							Illumina HiSeq	Institut Pasteur	PRJNA432884	SAMN08465288	2946	2850		
GCA_029747015.1	UA_SGP5p_2	Carnegiea gigantea					SGP5-SGP5p		Annotation submitted by The University of Arizona	1140547102	Scaffold	4/17/23	JAKOGI01	434668	467946							PacBio Sequel; Illumina	The University of Arizona	PRJNA318822	SAMN25812642	34209	34209		
GCA_019828565.1	ASM1982856v1	Carpediemonas membranifera					BICM		Annotation submitted by Dalhousie University	24237836	Scaffold	8/31/21	JAHDYR01	425371	905863							Illumina HiSeq; Oxford Nanopore MinION	Dalhousie University	PRJNA719540	SAMN18612951	8996	8272	724	
GCA_027919855.1	LboET3784_1	Lentinula guzmanii		ET3784					Annotation submitted by DOE Joint Genome Institute	41453719	Contig	1/18/23	JANVFO01	419954								PacBio	DOE Joint Genome Institute	PRJNA460928	SAMN09070708	12528	12280	2	246
GCA_013396095.1	ASM1339609v1	Fusarium sp. NRRL 52700		NRRL 52700					"Annotation submitted by US Department of Agriculture, Agriculture Research Service"	42984365	Contig	7/10/20	JAAQRM01	411744								Illumina MiSeq	"US Department of Agriculture, Agriculture Research Service"	PRJNA565749	SAMN13683622	13548	13548		
GCA_003369665.1	ASM336966v1	Coleophoma cylindrospora		BP6252					Annotation submitted by The University of Texas Health Science Center at Houston	42480816	Scaffold	8/10/18	PDLM01	410638	2359230							Illumina HiSeq	The University of Texas Health Science Center at Houston	PRJNA389322	SAMN07195328	14177	14177		
GCA_014298035.1	ASM1429803v1	Pseudocercospora fuligena		CBS 109729					Annotation submitted by University of California	50525800	Contig	8/26/20	JABCIY01	407608								PacBio RSII	University of California	PRJNA627565	SAMN14675867	13765	13765		
GCA_029216955.1	ASM2921695v1	Iris pallida					GSM-AAB239-AS_SAM_17_03QT		Annotation submitted by Novartis AG	13489124238	Scaffold	3/15/23	JANAVB01	403274	14342615							PacBio Sequel	Novartis AG	PRJNA813844	SAMN28206045	63918	63918		
GCA_902074915.1	C_chloroleuca_570-77_v2	Clonostachys chloroleuca							Annotation submitted by SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	61358807	Scaffold	1/31/23	CABFNP03	359381	626298							Illumina HiSeqX	SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	PRJEB32493	SAMEA5663351	19794	19562	2	230
GCA_905221605.1	Snat_CCMP2548	Symbiodinium natans							"Annotation submitted by INSTITUTE FOR MOLECULAR BIOSCIENCE, UNIVERSITY OF QUEENSLAND"	761619964	Scaffold	2/20/21	CAJNDS01	358021	610496								"INSTITUTE FOR MOLECULAR BIOSCIENCE, UNIVERSITY OF QUEENSLAND"	PRJEB34894	SAMEA7230740	35270	35270		
GCA_002895985.1	ASM289598v1	Sphaceloma murrayae		CQ-2017a					Annotation submitted by Nanjing Forestry University	20718688	Scaffold	1/23/18	NKHZ01	357468	598889							Illumina	Nanjing Forestry University	PRJNA385043	SAMN07200639	8286	8256	30	
GCA_905221615.1	Stri_CCMP2592	Symbiodinium sp. CCMP2592							"Annotation submitted by INSTITUTE FOR MOLECULAR BIOSCIENCE, UNIVERSITY OF QUEENSLAND"	1103301044	Scaffold	2/20/21	CAJNDT01	356695	651264								"INSTITUTE FOR MOLECULAR BIOSCIENCE, UNIVERSITY OF QUEENSLAND"	PRJEB34894	SAMEA7230703	45474	45474		
GCA_022813765.1	ASM2281376v1	Xylographa vitiligo					T1866		Annotation submitted by University of Graz	31360640	Scaffold	4/4/22	JALEAC01	355670	370309							Illumina	University of Graz	PRJNA795879	SAMN25961877	8696	8652		44
GCA_027943415.1	CLOP_1.0	Closterium sp. NIES-67		NIES-67					"Annotation submitted by Sekimoto Laboratory, Department of Chemical and Biological Sciences, Faculty of Science, Japan Women's University"	361975124	Contig	12/27/22	BQMB01	352577								PacBio; Illumina HiSEQ2500	"Sekimoto Laboratory, Department of Chemical and Biological Sciences, Faculty of Science, Japan Women's University"	PRJDB2146	SAMD00008875	25748	25681		1
GCA_022578765.1	XylFL0933	Xylaria sp. FL0933		FL0933					Annotation submitted by DOE Joint Genome Institute	46492583	Scaffold	2/28/22	JAJHUD01	349946	463740							Illumina	DOE Joint Genome Institute	PRJNA571065	SAMN12811581	12020	11854	5	161
GCA_026054675.1	ASM2605467v1	Alyxoria varia					Spribille s.n. 20.09.2020/TS-e1968		Annotation submitted by University of Alberta	25325852	Contig	11/7/22	JAPETI01	348177								Illumina HiSeq	University of Alberta	PRJNA833438	SAMN27762803	7611	7578		33
GCA_023848605.1	ASM2384860v1	Aureobasidium sp. EXF-10728		EXF-10728					"Annotation submitted by Biotechnical Faculty, University of Ljubljana"	25387844	Contig	6/22/22	SWBG01	347343								BGISEQ-500	"Biotechnical Faculty, University of Ljubljana"	PRJNA527935	SAMN11264789	8451	8451		
GCA_013368315.1	LU_TEN_1.0	Tetrapyrgos nigripes		CBS 291.85					Annotation submitted by Lund University	99142376	Contig	6/23/20	JAACJM01	343893								PacBio RSII	Lund University	PRJNA496464	SAMN10245919	18803	18803		
GCA_022814105.1	ASM2281410v1	Ptychographa xylographoides					T1868		Annotation submitted by University of Graz	25544166	Scaffold	4/4/22	JALDZM01	343217	343217							Illumina	University of Graz	PRJNA795879	SAMN25961861	7811	7741		70
GCA_905178155.1	a120_v1	Amoebophrya sp. A120							Annotation submitted by Genoscope	115520608	Scaffold	9/28/21	CAJINV01	339444	9243444								Genoscope	PRJEB39972	SAMEA7198938	26350	26350		
GCA_021365335.1	PhaPMI808	Phaeosphaeriaceae sp. PMI808		PMI808					Annotation submitted by DOE Joint Genome Institute	56370691	Contig	1/5/22	JAJTIZ01	331612								PacBio	DOE Joint Genome Institute	PRJNA251767	SAMN02850918	15962	15863	4	95
GCA_905182995.1	Paramecium_octaurelia_V1	Paramecium octaurelia							Annotation submitted by Genoscope CEA	86439580	Scaffold	6/18/21	CAJJDP01	326738	493211								Genoscope CEA	PRJEB41874	SAMEA7767317	42611	42611		
GCA_019924955.1	ASM1992495v1	Aureobasidium sp. EXF-3399		EXF-3399					"Annotation submitted by University of Ljubljana, Biotechnical Faculty"	25501793	Contig	9/10/21	JAHFYN01	324492								BGISEQ-500	"University of Ljubljana, Biotechnical Faculty"	PRJNA721240	SAMN18754179	9935	9935		
GCA_902728155.2	Merr_genes	Microthlaspi erraticum							"Annotation submitted by Senckenberg Biodiversity and Climate Research Center, Frankfurt am Main"	170422779	Scaffold	2/13/20	CACVBM02	323264	377745								"Senckenberg Biodiversity and Climate Research Center, Frankfurt am Main"	PRJEB35998	SAMEA6449025	49935	49768	167	
GCA_004936735.2	CCh_genotype_I	Cryptosporidium sp. chipmunk genotype I		37763					Annotation submitted by South China Agricultural University	9052409	Scaffold	12/30/21	SCFC02	320570	320570							Illumina HiSeq	South China Agricultural University	PRJNA511361	SAMN10623052	3783	3783		
GCA_947646735.1	Pf2	Peronospora farinosa					pf2		Annotation submitted by NIAB	48717171	Contig	4/8/23	CANTFK01	318826								OXFORD_NANOPORE	NIAB	PRJEB48439	SAMEA112151705	9548	9548		
GCA_023531295.1	Yrk_Parm_ont_1	Papaver armeniacum					S-191323		Annotation submitted by University of York	2980240000	Scaffold	5/23/22	JAJJWW01	317090	327673							Oxford Nanopore PromethION	University of York	PRJNA770669	SAMN22242534	53981	53981		
GCA_027603645.1	ASM2760364v1	Gaertneriomyces sp. JEL0708		JEL0708					Annotation submitted by DOE Joint Genome Institute	20557201	Scaffold	1/9/23	JADGJR01	315491	558018							Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619732	SAMN14534835	7840	7636		204
GCA_911197225.1	Psal_DTO309-F9	Penicillium salamii							Annotation submitted by University Paris-Sud	31295745	Scaffold	9/22/22	CAJVOY01	312816	652201								University Paris-Sud	PRJEB44534	SAMEA8618106	10803	10410		253
GCA_003709865.1	ASM370986v1	Chaetothyriales sp. CBS 132003		CBS 132003					Annotation submitted by Westerdijk Fungal Biodiversity Institute	22913932	Scaffold	11/2/18	QRBJ01	312613	312613							Illumina HiSeq	Westerdijk Fungal Biodiversity Institute	PRJNA482740	SAMN09487416	5727	5727		
GCA_025435555.1	Chyhya1	Chytriomyces cf. hyalinus JEL632		JEL632					Annotation submitted by DOE Joint Genome Institute	38103441	Scaffold	9/27/22	JAIWWG01	312457	312457							PacBio	DOE Joint Genome Institute	PRJNA346871	SAMN05920684	15939	15515	2	422
GCA_958301615.1	R_imi_1.0	Ranitomeya imitator							Annotation submitted by university of houston	6023662647	Scaffold	7/19/23	CAUEEQ01	308637	389727							PacBio Sequel II	university of houston	PRJEB28312	SAMEA7339828	25869	25638	231	
GCA_010094025.1	Tryvi1	Viridothelium virens		Tuck. ex Michener					Annotation submitted by DOE Joint Genome Institute	32160005	Scaffold	1/31/20	JAAEIX01	308323	324419							Illumina	DOE Joint Genome Institute	PRJNA519654	SAMN10866075	11905	11845	25	35
GCA_002072365.1	ASM207236v1	Penicillium flavigenum		IBT 14082					Annotation submitted by Chalmers University of Technology	32903267	Scaffold	3/24/17	MLQL01	305944	607994							Illumina HiSeq	Chalmers University of Technology	PRJNA318735	SAMN05200882	10994	10994		
GCA_022814255.1	ASM2281425v1	Bachmanniomyces sp. S44760					T1894		Annotation submitted by University of Graz	23023557	Scaffold	4/4/22	JALDZF01	299982	299982							Illumina	University of Graz	PRJNA795879	SAMN25961854	7119	7087		32
GCA_902077795.2	C_rhizophaga_906-72A	Clonostachys rhizophaga							Annotation submitted by SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	59593020	Scaffold	11/18/21	CABFNQ02	296893	614681								SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	PRJEB32493	SAMEA5663348	19124	18886	4	234
